"","Pathway.name","Uniquegenes","Uniquemetabol.","Geneexpression","Geneexpression.FDR.BH.","Proteomics","Proteomics.FDR.BH.","Proteomics.1","Proteomics.FDR.BH..1","Combined.pValue.Fisher.","Combined.pValue.Fisher..FDR.BH.","Contrast"
"504","Fc epsilon RI signaling pathway",52,NA,0.879873706,1,"0.31715529",1,"0.31715529",1,0.635227882,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"505","Thyroid hormone signaling pathway",95,NA,0.970455209,1,"0.293825751",1,"0.293825751",1,0.642932477,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"506","Glycosphingolipid biosynthesis - ganglio series",14,NA,0.412485192,1,"0.699238443",1,"0.699238443",1,0.647030252,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"507","Growth hormone synthesis, secretion and action",84,NA,0.779191332,1,"0.371307225",1,"0.371307225",1,0.648140231,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"508","Chemokine signaling pathway",119,NA,0.996419238,1,"0.290506165",1,"0.290506165",1,0.648321961,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"509","Melanogenesis",68,NA,0.593332329,1,"0.489125076",1,"0.489125076",1,0.649248043,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"510","Epithelial cell signaling in Helicobacter pylori infection",58,NA,0.422579344,1,"0.689786792",1,"0.689786792",1,0.650823744,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"511","Arachidonic acid metabolism",21,NA,0.607015109,1,"0.480470943",1,"0.480470943",1,0.651025217,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"512","GnRH signaling pathway",71,NA,0.466617577,1,"0.630463795",1,"0.630463795",1,0.654134612,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"513","Arginine biosynthesis",16,NA,0.348120025,1,"0.85247884",1,"0.85247884",1,0.657279429,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"514","Th17 cell differentiation",88,NA,0.801039505,1,"0.371307225",1,"0.371307225",1,0.65808872,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"515","NOD-like receptor signaling pathway",132,NA,0.308084474,1,"0.972732904",1,"0.972732904",1,0.660811105,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"516","Autophagy - animal",124,NA,0.326808524,1,"0.918372957",1,"0.918372957",1,0.661350869,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"517","Chagas disease",68,NA,0.406331208,1,"0.741430889",1,"0.741430889",1,0.662714014,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"518","One carbon pool by folate",17,NA,0.387497393,1,"0.792134002",1,"0.792134002",1,0.669479399,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"519","Wnt signaling pathway",113,NA,0.604661493,1,"0.513930627",1,"0.513930627",1,0.67394895,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"520","Synaptic vesicle cycle",50,NA,0.701229252,1,"0.443718534",1,"0.443718534",1,0.674409605,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"521","Acute myeloid leukemia",56,NA,0.422579344,1,"0.741430889",1,"0.741430889",1,0.676929653,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"522","Melanoma",45,NA,0.972039313,1,"0.326352458",1,"0.326352458",1,0.681447751,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"523","Glioma",58,NA,0.992981432,1,"0.320157656",1,"0.320157656",1,0.68223141,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"524","Ribosome",128,NA,0.378803528,1,"0.846606275",1,"0.846606275",1,0.685412903,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"525","Thermogenesis",186,NA,0.999839378,1,"0.323459858",1,"0.323459858",1,0.68848397,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"526","Inflammatory mediator regulation of TRP channels",61,NA,0.45538901,1,"0.713099385",1,"0.713099385",1,0.689982282,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"527","Salmonella infection",218,NA,0.628111444,1,"0.555357945",1,"0.555357945",1,0.716203998,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"528","Oxytocin signaling pathway",104,NA,0.379487135,1,"0.926344083",1,"0.926344083",1,0.719046551,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"529","Fc gamma R-mediated phagocytosis",77,NA,0.967188463,1,"0.36510186",1,"0.36510186",1,0.720701725,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"530","DNA replication",36,NA,0.999650107,1,"0.353568323",1,"0.353568323",1,0.721037078,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"531","Leishmaniasis",58,NA,0.357430877,1,"0.990528445",1,"0.990528445",1,0.721661458,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"532","Gastric acid secretion",43,NA,0.403545395,1,"0.882827173",1,"0.882827173",1,0.723954846,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"533","Cardiac muscle contraction",46,NA,0.97969749,1,"0.364420741",1,"0.364420741",1,0.724739708,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"534","mTOR signaling pathway",130,NA,0.368106505,1,"0.970676177",1,"0.970676177",1,0.725038411,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"535","Dilated cardiomyopathy",47,NA,0.423329741,1,"0.845636241",1,"0.845636241",1,0.725728087,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"536","Drug metabolism - other enzymes",39,NA,0.364302616,1,"0.985472033",1,"0.985472033",1,0.726781693,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"537","Focal adhesion",129,NA,0.814347037,1,"0.44292143",1,"0.44292143",1,0.728500516,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"538","2-Oxocarboxylic acid metabolism",16,NA,0.834087938,1,"0.442139278",1,"0.442139278",1,0.736661371,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"539","Prolactin signaling pathway",49,NA,0.997030217,1,"0.370054577",1,"0.370054577",1,0.736833464,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"540","Glycerolipid metabolism",41,NA,0.385603449,1,"0.961009929",1,"0.961009929",1,0.738438379,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"541","Renin-angiotensin system",10,NA,0.96224718,1,"0.38954824",1,"0.38954824",1,0.742655667,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"542","Primary immunodeficiency",27,NA,0.662333123,1,"0.577276131",1,"0.577276131",1,0.749947639,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"543","Collecting duct acid secretion",18,NA,0.59394857,1,"0.648895422",1,"0.648895422",1,0.752878715,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"544","Carbon metabolism",97,NA,0.999730363,1,"0.386277629",1,"0.386277629",1,0.753605407,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"545","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",24,NA,0.396097657,1,"0.979743282",1,"0.979743282",1,0.755409046,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"546","Maturity onset diabetes of the young",9,NA,0.480629598,1,"0.817373027",1,"0.817373027",1,0.759903955,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"547","Peroxisome",67,NA,0.829124806,1,"0.478225381",1,"0.478225381",1,0.763301805,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"548","cGMP-PKG signaling pathway",103,NA,0.758425882,1,"0.52353396",1,"0.52353396",1,0.763813142,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"549","Fat digestion and absorption",20,NA,0.445129647,1,"0.892696167",1,"0.892696167",1,0.764093657,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"550","Staphylococcus aureus infection",34,NA,0.901498936,1,"0.442139278",1,"0.442139278",1,0.765220076,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"551","Biosynthesis of amino acids",65,NA,0.552140037,1,"0.728941417",1,"0.728941417",1,0.768778965,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"552","Ether lipid metabolism",26,NA,0.571896483,1,"0.7077777",1,"0.7077777",1,0.770863715,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"553","Hepatitis B",133,NA,0.431901543,1,"0.93802075",1,"0.93802075",1,0.771186466,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"554","Aldosterone-regulated sodium reabsorption",26,NA,0.445171506,1,"0.911446177",1,"0.911446177",1,0.771743713,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"555","Asthma",19,NA,0.893199621,1,"0.458001193",1,"0.458001193",1,0.774739729,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"556","Mismatch repair",23,NA,0.980185212,1,"0.418512299",1,"0.418512299",1,0.775750936,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"557","Non-alcoholic fatty liver disease",129,NA,0.44368883,1,"0.926033889",1,"0.926033889",1,0.776330791,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"558","Long-term potentiation",49,NA,0.571108239,1,"0.727870617",1,"0.727870617",1,0.780591672,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"559","Base excision repair",33,NA,0.998933352,1,"0.418512299",1,"0.418512299",1,0.78266794,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"560","Inflammatory bowel disease",40,NA,0.46421515,1,"0.911446177",1,"0.911446177",1,0.787034205,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"561","Endocrine resistance",81,NA,0.987718293,1,"0.432852274",1,"0.432852274",1,0.790820607,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"562","Bladder cancer",33,NA,0.973279473,1,"0.442139278",1,"0.442139278",1,0.793181368,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"563","Chemical carcinogenesis - DNA adducts",16,NA,0.475768562,1,"0.906671113",1,"0.906671113",1,0.7940575,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"564","Bacterial invasion of epithelial cells",61,NA,0.979864339,1,"0.441388281",1,"0.441388281",1,0.795010335,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"565","Nucleotide excision repair",46,NA,0.999709024,1,"0.432852274",1,"0.432852274",1,0.795199441,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"566","Hepatitis C",114,NA,0.846873731,1,"0.511316411",1,"0.511316411",1,0.795445705,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"567","Vascular smooth muscle contraction",76,NA,0.555526301,1,"0.785801418",1,"0.785801418",1,0.798371702,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"568","Ferroptosis",33,NA,0.931455384,1,"0.470007825",1,"0.470007825",1,0.799412606,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"569","Glyoxylate and dicarboxylate metabolism",22,NA,0.900871045,1,"0.486768229",1,"0.486768229",1,0.80001011,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"570","GnRH secretion",39,NA,0.544746094,1,"0.810518202",1,"0.810518202",1,0.802482127,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"571","Steroid biosynthesis",19,NA,0.999267328,1,"0.442139278",1,"0.442139278",1,0.802718058,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"572","Synthesis and degradation of ketone bodies",7,NA,0.624857099,1,"0.7077777",1,"0.7077777",1,0.803081,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"573","Kaposi sarcoma-associated herpesvirus infection",148,NA,0.762806087,1,"0.58037198",1,"0.58037198",1,0.803449014,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"574","Gap junction",56,NA,0.910342373,1,"0.489125076",1,"0.489125076",1,0.805527613,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"575","Metabolism of xenobiotics by cytochrome P450",26,NA,0.522672812,1,"0.85247884",1,"0.85247884",1,0.805767186,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"576","Hematopoietic cell lineage",49,NA,0.916468162,1,"0.486768229",1,"0.486768229",1,0.806203456,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"577","Fructose and mannose metabolism",29,NA,0.740058605,1,"0.607329226",1,"0.607329226",1,0.808896321,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"578","Complement and coagulation cascades",32,NA,0.986736625,1,"0.458001193",1,"0.458001193",1,0.810862712,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"579","Measles",109,NA,0.535405388,1,"0.84905896",1,"0.84905896",1,0.812970869,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"580","Non-small cell lung cancer",61,NA,0.845057482,1,"0.545748925",1,"0.545748925",1,0.818125165,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"581","Oxidative phosphorylation",108,NA,0.999902356,1,"0.463262327",1,"0.463262327",1,0.819690185,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"582","Estrogen signaling pathway",82,NA,0.947236622,1,"0.490401932",1,"0.490401932",1,0.820696133,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"583","Pancreatic cancer",68,NA,0.845558486,1,"0.554173831",1,"0.554173831",1,0.823791176,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"584","Pentose and glucuronate interconversions",13,NA,0.512826376,1,"0.931359988",1,"0.931359988",1,0.830556857,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"585","Pathways in cancer",351,NA,0.730735339,1,"0.657689452",1,"0.657689452",1,0.832742957,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"586","EGFR tyrosine kinase inhibitor resistance",57,NA,0.957677108,1,"0.503839485",1,"0.503839485",1,0.834144953,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"587","Hedgehog signaling pathway",39,NA,0.544746094,1,"0.885845677",1,"0.885845677",1,0.83417806,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"588","Relaxin signaling pathway",87,NA,0.911689837,1,"0.530056377",1,"0.530056377",1,0.834677453,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"589","AGE-RAGE signaling pathway in diabetic complications",70,NA,0.727617112,1,"0.668828242",1,"0.668828242",1,0.837140875,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"590","Rap1 signaling pathway",137,NA,0.606850109,1,"0.828801613",1,"0.828801613",1,0.848615427,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"591","Protein digestion and absorption",34,NA,0.598591498,1,"0.845787182",1,"0.845787182",1,0.850887972,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"592","Drug metabolism - cytochrome P450",21,NA,0.647098186,1,"0.793017734",1,"0.793017734",1,0.855523946,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"593","Amphetamine addiction",42,NA,0.947722311,1,"0.555809179",1,"0.555809179",1,0.864413914,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"594","Viral myocarditis",51,NA,0.701229252,1,"0.752341121",1,"0.752341121",1,0.864933059,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"595","Necroptosis",120,NA,0.882854541,1,"0.597569865",1,"0.597569865",1,0.864935405,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"596","Phosphonate and phosphinate metabolism",5,NA,1,1,"0.528667875",1,"0.528667875",1,0.865638072,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"597","PI3K-Akt signaling pathway",209,NA,0.936895969,1,"0.566266581",1,"0.566266581",1,0.866823529,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"598","Ubiquitin mediated proteolysis",131,NA,0.992796445,1,"0.537238864",1,"0.537238864",1,0.8686136,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"599","Hippo signaling pathway",114,NA,0.927763944,1,"0.582230548",1,"0.582230548",1,0.872846786,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"600","Choline metabolism in cancer",71,NA,0.683918191,1,"0.823508981",1,"0.823508981",1,0.886551984,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"601","Inositol phosphate metabolism",65,NA,0.926671524,1,"0.610522844",1,"0.610522844",1,0.888005249,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"602","Starch and sucrose metabolism",23,NA,0.842439451,1,"0.672003482",1,"0.672003482",1,0.888214803,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"603","HIF-1 signaling pathway",85,NA,0.965860015,1,"0.587634011",1,"0.587634011",1,0.889037891,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"604","Viral carcinogenesis",177,NA,0.992754837,1,"0.581136942",1,"0.581136942",1,0.89425939,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"605","Regulation of lipolysis in adipocytes",30,NA,0.860914874,1,"0.672003482",1,"0.672003482",1,0.895143413,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"606","Valine, leucine and isoleucine biosynthesis",3,NA,0.625516998,1,"0.925619864",1,"0.925619864",1,0.895391231,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"607","Mineral absorption",31,NA,0.938720895,1,"0.620957016",1,"0.620957016",1,0.897517107,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"608","Fluid shear stress and atherosclerosis",93,NA,0.71314663,1,"0.821077878",1,"0.821077878",1,0.898937951,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"609","Amoebiasis",57,NA,0.779053381,1,"0.752341121",1,"0.752341121",1,0.899240055,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"610","Pancreatic secretion",48,NA,0.663647333,1,"0.884404494",1,"0.884404494",1,0.899676914,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"611","Progesterone-mediated oocyte maturation",73,NA,0.997519337,1,"0.597126507",1,"0.597126507",1,0.904255009,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"612","p53 signaling pathway",65,NA,0.986841126,1,"0.608317247",1,"0.608317247",1,0.906654914,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"613","Long-term depression",42,NA,0.689293717,1,"0.884404494",1,"0.884404494",1,0.911330064,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"614","Ras signaling pathway",143,NA,0.721361377,1,"0.849073859",1,"0.849073859",1,0.912746032,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"615","Parathyroid hormone synthesis, secretion and action",77,NA,0.639056357,1,"0.967588567",1,"0.967588567",1,0.915588175,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"616","Endocytosis",215,NA,0.80648324,1,"0.767900246",1,"0.767900246",1,0.916046543,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"617","Nitrogen metabolism",6,NA,0.859858511,1,"0.72714387",1,"0.72714387",1,0.91886542,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"618","JAK-STAT signaling pathway",80,NA,0.994325598,1,"0.630463795",1,"0.630463795",1,0.919635988,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"619","ECM-receptor interaction",37,NA,0.741916496,1,"0.845787182",1,"0.845787182",1,0.919923898,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"620","Diabetic cardiomyopathy",158,NA,0.999999615,1,"0.632275042",1,"0.632275042",1,0.922129275,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"621","Porphyrin and chlorophyll metabolism",19,NA,0.958276229,1,"0.672003482",1,"0.672003482",1,0.927381001,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"622","Proteoglycans in cancer",144,NA,0.847456566,1,"0.764905394",1,"0.764905394",1,0.929241439,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"623","Phototransduction",13,NA,0.694291757,1,"0.935507611",1,"0.935507611",1,0.929799881,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"624","Colorectal cancer",76,NA,0.975550687,1,"0.667177108",1,"0.667177108",1,0.930380985,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"625","Basal transcription factors",42,NA,0.998911755,1,"0.653014311",1,"0.653014311",1,0.930997201,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"626","Salivary secretion",47,NA,0.689293717,1,"0.948882843",1,"0.948882843",1,0.931744788,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"627","Renin secretion",36,NA,0.876808325,1,"0.746146089",1,"0.746146089",1,0.931816144,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"628","Glutamatergic synapse",65,NA,0.76618567,1,"0.855910988",1,"0.855910988",1,0.932476039,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"629","Cholinergic synapse",71,NA,0.861794496,1,"0.764338195",1,"0.764338195",1,0.933699764,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"630","Morphine addiction",45,NA,0.720713227,1,"0.914813181",1,"0.914813181",1,0.933956442,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"631","Primary bile acid biosynthesis",9,NA,0.815688321,1,"0.817373027",1,"0.817373027",1,0.936999023,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"632","Tuberculosis",125,NA,0.746663723,1,"0.914483975",1,"0.914483975",1,0.943329167,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"633","GABAergic synapse",46,NA,0.750012971,1,"0.911446177",1,"0.911446177",1,0.943628011,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"634","Endocrine and other factor-regulated calcium reabsorption",34,NA,0.91765971,1,"0.758032258",1,"0.758032258",1,0.948094918,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"635","Chemical carcinogenesis - receptor activation",119,NA,0.963142758,1,"0.725384876",1,"0.725384876",1,0.949189357,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"636","Ubiquinone and other terpenoid-quinone biosynthesis",9,NA,0.96224718,1,"0.72714387",1,"0.72714387",1,0.949562586,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"637","Non-homologous end-joining",13,NA,0.985894508,1,"0.720492425",1,"0.720492425",1,0.953280902,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"638","Adrenergic signaling in cardiomyocytes",87,NA,0.984536156,1,"0.734049617",1,"0.734049617",1,0.957404309,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"639","Fanconi anemia pathway",52,NA,0.90807342,1,"0.798779049",1,"0.798779049",1,0.958260605,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"640","Ovarian steroidogenesis",23,NA,0.81253927,1,"0.892696167",1,"0.892696167",1,0.95826082,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"641","Caffeine metabolism",1,NA,1,1,"0.72714387",1,"0.72714387",1,0.958834394,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"642","Lipoic acid metabolism",3,NA,1,1,"0.72714387",1,"0.72714387",1,0.958834394,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"643","Sphingolipid signaling pathway",93,NA,0.822731429,1,"0.885263918",1,"0.885263918",1,0.959212775,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"644","Vasopressin-regulated water reabsorption",34,NA,0.85557918,1,"0.85190402",1,"0.85190402",1,0.95938277,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"645","Apelin signaling pathway",96,NA,0.754375989,1,"0.973264724",1,"0.973264724",1,0.961050899,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"646","Riboflavin metabolism",7,NA,0.899025413,1,"0.817373027",1,"0.817373027",1,0.961245764,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"647","MicroRNAs in cancer",140,NA,0.778884808,1,"0.948000951",1,"0.948000951",1,0.962329277,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"648","Autophagy - other",30,NA,0.773845866,1,"0.966773898",1,"0.966773898",1,0.965222412,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"649","ErbB signaling pathway",66,NA,0.953310605,1,"0.79546958",1,"0.79546958",1,0.968111743,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"650","Platinum drug resistance",59,NA,0.893129081,1,"0.849498017",1,"0.849498017",1,0.968217266,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"651","PPAR signaling pathway",41,NA,0.826601834,1,"0.930929856",1,"0.930929856",1,0.971122205,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"652","Neutrophil extracellular trap formation",130,NA,0.999935545,1,"0.774511923",1,"0.774511923",1,0.972404175,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"653","Toxoplasmosis",92,NA,0.785493273,1,"0.989924937",1,"0.989924937",1,0.973194669,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"654","Longevity regulating pathway - multiple species",48,NA,0.80214523,1,"0.975890024",1,"0.975890024",1,0.974491886,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"655","Systemic lupus erythematosus",87,NA,0.999946173,1,"0.789521496",1,"0.789521496",1,0.97609766,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"656","Alzheimer disease",284,NA,0.986807348,1,"0.805514296",1,"0.805514296",1,0.977357632,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"657","Alcoholism",126,NA,0.999829535,1,"0.796016229",1,"0.796016229",1,0.977584985,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"658","Adherens junction",61,NA,0.937762907,1,"0.849498017",1,"0.849498017",1,0.977755223,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"659","Glycosphingolipid biosynthesis - globo and isoglobo series",10,NA,0.815688321,1,"0.979743282",1,"0.979743282",1,0.978328114,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"660","Tight junction",124,NA,0.986816594,1,"0.825745846",1,"0.825745846",1,0.981693528,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"661","D-Glutamine and D-glutamate metabolism",5,NA,1,1,"0.817373027",1,"0.817373027",1,0.982204232,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"662","Neomycin, kanamycin and gentamicin biosynthesis",3,NA,1,1,"0.817373027",1,"0.817373027",1,0.982204232,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"663","Parkinson disease",202,NA,0.999999934,1,"0.833210891",1,"0.833210891",1,0.985245621,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"664","Dopaminergic synapse",87,NA,0.995542344,1,"0.837851477",1,"0.837851477",1,0.985410407,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"665","Pentose phosphate pathway",26,NA,0.988117395,1,"0.845636241",1,"0.845636241",1,0.985675969,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"666","Thiamine metabolism",10,NA,0.980414177,1,"0.85247884",1,"0.85247884",1,0.985710876,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"667","Folate biosynthesis",15,NA,0.866504611,1,"0.970023808",1,"0.970023808",1,0.986549103,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"668","Taste transduction",31,NA,0.901498936,1,"0.935507611",1,"0.935507611",1,0.987035811,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"669","Hippo signaling pathway - multiple species",21,NA,0.878578227,1,"0.960863386",1,"0.960863386",1,0.987177571,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"670","Apoptosis - multiple species",26,NA,0.890464684,1,"0.951738333",1,"0.951738333",1,0.987729354,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"671","Prion disease",211,NA,0.999995053,1,"0.851542504",1,"0.851542504",1,0.9883897,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"672","Amyotrophic lateral sclerosis",289,NA,0.999998581,1,"0.87074246",1,"0.87074246",1,0.991260907,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"673","FoxO signaling pathway",105,NA,0.901605743,1,"0.967630638",1,"0.967630638",1,0.991491833,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
