Pathway.name,Unique.genes,Phosphoproteomics,PhosphoproteomicsFDR_BH,Proteomics,ProteomicsFDR_BH,Transcriptomics,TranscriptomicsFDR_BH,Combined,CombinedFDR_BH,Contrast
EGFR tyrosine kinase inhibitor resistance,58,0.302261579,1,0.836912661,1.00E+00,0.792267505,1,0.729675989,1,X1O2NoCyA - X19O2NoCyA
Pertussis,51,0.709779881,1,0.355746557,1.00E+00,0.817271728,1,0.681082917,1,X1O2NoCyA - X19O2NoCyA
Nicotinate and nicotinamide metabolism,27,0.709779881,1,0.663496823,1.00E+00,0.439030024,1,0.718158638,1,X1O2NoCyA - X19O2NoCyA
Morphine addiction,46,0.628136217,1,0.840714497,1.00E+00,0.395133324,0.991424631,0.776282977,1,X1O2NoCyA - X19O2NoCyA
Arginine biosynthesis,17,NA,NA,0.585945956,1.00E+00,0.737491158,1,0.69531602,1,X1O2NoCyA - X19O2NoCyA
Proteoglycans in cancer,149,0.680626798,1,0.425313635,1.00E+00,0.738044149,1,0.666739643,1,X1O2NoCyA - X19O2NoCyA
Mineral absorption,35,0.709779881,1,0.508532172,1.00E+00,0.594226412,1,0.680141721,1,X1O2NoCyA - X19O2NoCyA
Collecting duct acid secretion,18,1,1,0.486997516,1.00E+00,0.44321401,1,0.999978818,1,X1O2NoCyA - X19O2NoCyA
NF-kappa B signaling pathway,79,0.737873451,1,0.601919652,1.00E+00,0.48872642,1,0.717141516,1,X1O2NoCyA - X19O2NoCyA
Cytosolic DNA-sensing pathway,41,0.892579553,1,0.312145529,1.00E+00,0.780443639,1,0.786124737,1,X1O2NoCyA - X19O2NoCyA
Arachidonic acid metabolism,25,1,1,0.794645636,1.00E+00,0.274269324,0.991424631,0.999996155,1,X1O2NoCyA - X19O2NoCyA
Vitamin B6 metabolism,6,NA,NA,1,1.00E+00,0.443315769,1,0.999999966,1,X1O2NoCyA - X19O2NoCyA
Selenocompound metabolism,15,1,1,0.653926471,1.00E+00,0.335544191,0.991424631,0.999989959,1,X1O2NoCyA - X19O2NoCyA
Diabetic cardiomyopathy,159,0.302261579,1,0.744112673,1.00E+00,0.981453997,1,0.813152356,1,X1O2NoCyA - X19O2NoCyA
Other types of O-glycan biosynthesis,35,1,1,0.878957678,1.00E+00,0.254737278,0.991424631,0.999998538,1,X1O2NoCyA - X19O2NoCyA
Cell cycle,118,0.684308361,1,0.527823494,1.00E+00,0.647242444,1,0.693368183,1,X1O2NoCyA - X19O2NoCyA
Aldosterone-regulated sodium reabsorption,27,1,1,0.663496823,1.00E+00,0.354477874,0.991424631,0.999991488,1,X1O2NoCyA - X19O2NoCyA
Salivary secretion,55,1,1,0.71543415,1.00E+00,0.33356084,0.991424631,0.999993915,1,X1O2NoCyA - X19O2NoCyA
Amoebiasis,59,1,1,0.62113986,1.00E+00,0.393676195,0.991424631,0.999990087,1,X1O2NoCyA - X19O2NoCyA
Adipocytokine signaling pathway,54,1,1,0.312145529,1.00E+00,0.78366766,1,0.999983699,1,X1O2NoCyA - X19O2NoCyA
Glioma,59,0.423039774,1,0.812406586,1.00E+00,0.714849097,1,0.747723188,1,X1O2NoCyA - X19O2NoCyA
Apelin signaling pathway,99,0.875186997,1,0.344252796,1.00E+00,0.833661115,1,0.807163723,1,X1O2NoCyA - X19O2NoCyA
Basal transcription factors,42,0.621111308,1,0.494173868,1.00E+00,0.826156258,1,0.71034765,1,X1O2NoCyA - X19O2NoCyA
Carbon metabolism,99,0.670629192,1,0.726482821,1.00E+00,0.520914737,1,0.758310947,1,X1O2NoCyA - X19O2NoCyA
Glutathione metabolism,37,1,1,0.865179594,1.00E+00,0.293800431,0.991424631,0.999998555,1,X1O2NoCyA - X19O2NoCyA
TGF-beta signaling pathway,72,0.679436653,1,0.754693858,1.00E+00,0.496485898,1,0.773347792,1,X1O2NoCyA - X19O2NoCyA
Ras signaling pathway,150,0.437808309,1,0.708623144,1.00E+00,0.822954513,1,0.729442636,1,X1O2NoCyA - X19O2NoCyA
Renin secretion,38,0.709779881,1,0.71149611,1.00E+00,0.510803382,1,0.768851066,1,X1O2NoCyA - X19O2NoCyA
p53 signaling pathway,67,1,1,0.580778661,1.00E+00,0.445878251,1,0.99998933,1,X1O2NoCyA - X19O2NoCyA
Prolactin signaling pathway,52,0.312283245,1,0.876051016,1.00E+00,0.947526184,1,0.854088894,1,X1O2NoCyA - X19O2NoCyA
Bile secretion,34,0.7735513,1,0.413574464,1.00E+00,0.817126988,1,0.757605745,1,X1O2NoCyA - X19O2NoCyA
GABAergic synapse,46,0.52363579,1,0.754038517,1.00E+00,0.669192232,1,0.74338627,1,X1O2NoCyA - X19O2NoCyA
Hepatocellular carcinoma,131,0.581586929,1,0.935873256,1.00E+00,0.490117892,1,0.867230438,1,X1O2NoCyA - X19O2NoCyA
NOD-like receptor signaling pathway,135,0.558723417,1,0.658578682,1.00E+00,0.733595815,1,0.726569215,1,X1O2NoCyA - X19O2NoCyA
Fc gamma R-mediated phagocytosis,77,0.891678972,1,0.967375743,1.00E+00,0.314593825,0.991424631,0.965726098,1,X1O2NoCyA - X19O2NoCyA
Histidine metabolism,11,NA,NA,1,1.00E+00,0.51498845,1,0.99999998,1,X1O2NoCyA - X19O2NoCyA
C-type lectin receptor signaling pathway,82,0.99467506,1,0.533282605,1.00E+00,0.51376183,1,0.959235535,1,X1O2NoCyA - X19O2NoCyA
Maturity onset diabetes of the young,9,1,1,0.409751406,1.00E+00,0.676353661,1,0.999986559,1,X1O2NoCyA - X19O2NoCyA
Adrenergic signaling in cardiomyocytes,93,0.679436653,1,0.741450915,1.00E+00,0.557681107,1,0.78296144,1,X1O2NoCyA - X19O2NoCyA
Non-small cell lung cancer,62,0.914962652,1,0.917746133,1.00E+00,0.3373131,0.991424631,0.949559548,1,X1O2NoCyA - X19O2NoCyA
Thyroid hormone signaling pathway,100,0.762961568,1,0.673479317,1.00E+00,0.560983924,1,0.794004546,1,X1O2NoCyA - X19O2NoCyA
"Alanine, aspartate and glutamate metabolism",24,0.389910667,1,0.870250776,1.00E+00,0.863993002,1,0.83451981,1,X1O2NoCyA - X19O2NoCyA
Calcium signaling pathway,129,0.668412648,1,0.677303816,1.00E+00,0.655160083,1,0.769805552,1,X1O2NoCyA - X19O2NoCyA
Propanoate metabolism,32,0.7735513,1,0.459124361,1.00E+00,0.840324819,1,0.790730081,1,X1O2NoCyA - X19O2NoCyA
"Valine, leucine and isoleucine degradation",42,0.52363579,1,0.694777426,1.00E+00,0.826156258,1,0.767748199,1,X1O2NoCyA - X19O2NoCyA
Regulation of actin cytoskeleton,159,0.456778113,1,0.731186963,1.00E+00,0.94564873,1,0.828186296,1,X1O2NoCyA - X19O2NoCyA
Longevity regulating pathway,73,0.92213538,1,0.952704246,1.00E+00,0.363086698,0.991424631,0.970048913,1,X1O2NoCyA - X19O2NoCyA
Cysteine and methionine metabolism,42,0.823351222,1,0.834389956,1.00E+00,0.464865358,1,0.88602427,1,X1O2NoCyA - X19O2NoCyA
Thyroid cancer,30,0.892579553,1,0.931216696,1.00E+00,0.395991762,0.991424631,0.953134718,1,X1O2NoCyA - X19O2NoCyA
Platelet activation,90,0.453189114,1,0.772458611,1.00E+00,0.940742631,1,0.843589295,1,X1O2NoCyA - X19O2NoCyA
SNARE interactions in vesicular transport,33,0.474751771,1,0.752746683,1.00E+00,0.926450999,1,0.831632281,1,X1O2NoCyA - X19O2NoCyA
Endocrine resistance,83,0.578957819,1,0.836912661,1.00E+00,0.691831663,1,0.831803002,1,X1O2NoCyA - X19O2NoCyA
Ferroptosis,34,0.55118886,1,0.971501478,1.00E+00,0.630143102,1,0.92626742,1,X1O2NoCyA - X19O2NoCyA
RIG-I-like receptor signaling pathway,47,0.975980743,1,0.902697626,1.00E+00,0.394462502,0.991424631,0.979097265,1,X1O2NoCyA - X19O2NoCyA
cAMP signaling pathway,124,0.805725887,1,0.490105238,1.00E+00,0.887460421,1,0.845286531,1,X1O2NoCyA - X19O2NoCyA
Nitrogen metabolism,8,NA,NA,1,1.00E+00,0.608843207,1,0.99999999,1,X1O2NoCyA - X19O2NoCyA
Chronic myeloid leukemia,69,0.923699678,1,0.917520987,1.00E+00,0.416475707,1,0.96066081,1,X1O2NoCyA - X19O2NoCyA
Protein export,23,0.52363579,1,0.993442876,1.00E+00,0.680558608,1,0.966435316,1,X1O2NoCyA - X19O2NoCyA
VEGF signaling pathway,48,0.566774037,1,0.951486182,1.00E+00,0.657660776,1,0.910602464,1,X1O2NoCyA - X19O2NoCyA
beta-Alanine metabolism,23,1,1,0.907086579,1.00E+00,0.394671374,0.991424631,0.999999582,1,X1O2NoCyA - X19O2NoCyA
Melanoma,46,0.619447607,1,0.791380984,1.00E+00,0.750692487,1,0.838139987,1,X1O2NoCyA - X19O2NoCyA
Tryptophan metabolism,26,1,1,0.870250776,1.00E+00,0.439030024,1,0.999999363,1,X1O2NoCyA - X19O2NoCyA
Rap1 signaling pathway,145,0.518592002,1,0.761267063,1.00E+00,0.970676131,1,0.888814186,1,X1O2NoCyA - X19O2NoCyA
Human cytomegalovirus infection,169,0.880430864,1,0.982678165,1.00E+00,0.468818784,1,0.982727863,1,X1O2NoCyA - X19O2NoCyA
Non-alcoholic fatty liver disease,130,0.529452029,1,0.766666836,1.00E+00,0.999859264,1,0.972575469,1,X1O2NoCyA - X19O2NoCyA
Non-homologous end-joining,13,0.474751771,1,1,1.00E+00,0.857066957,1,0.999996623,1,X1O2NoCyA - X19O2NoCyA
Vibrio cholerae infection,44,1,1,0.902697626,1.00E+00,0.499072802,1,0.999999731,1,X1O2NoCyA - X19O2NoCyA
JAK-STAT signaling pathway,86,0.873538098,1,0.88526791,1.00E+00,0.586827666,1,0.946796135,1,X1O2NoCyA - X19O2NoCyA
Gastric acid secretion,46,0.892579553,1,0.71543415,1.00E+00,0.711453678,1,0.918902502,1,X1O2NoCyA - X19O2NoCyA
Shigellosis,215,0.737550702,1,0.841486711,1.00E+00,0.785518576,1,0.914870118,1,X1O2NoCyA - X19O2NoCyA
Regulation of lipolysis in adipocytes,33,1,1,0.762836139,1.00E+00,0.644214122,1,0.999999113,1,X1O2NoCyA - X19O2NoCyA
Fatty acid biosynthesis,16,1,1,0.805211041,1.00E+00,0.612697606,1,0.999999349,1,X1O2NoCyA - X19O2NoCyA
Pyruvate metabolism,38,1,1,0.522786648,1.00E+00,0.955722626,1,0.999999423,1,X1O2NoCyA - X19O2NoCyA
Human immunodeficiency virus 1 infection,175,0.989265893,1,0.5698762,1.00E+00,0.909198972,1,0.983679826,1,X1O2NoCyA - X19O2NoCyA
Hepatitis C,116,0.805725887,1,0.954855799,1.00E+00,0.671445527,1,0.9668538,1,X1O2NoCyA - X19O2NoCyA
Porphyrin and chlorophyll metabolism,19,1,1,0.870250776,1.00E+00,0.593932662,1,0.999999705,1,X1O2NoCyA - X19O2NoCyA
Endocytosis,217,0.797351165,1,0.682496884,1.00E+00,0.958899141,1,0.936161851,1,X1O2NoCyA - X19O2NoCyA
Ether lipid metabolism,27,1,1,0.842331213,1.00E+00,0.621185676,1,0.999999612,1,X1O2NoCyA - X19O2NoCyA
DNA replication,36,0.566774037,1,0.976510164,1.00E+00,0.991879511,1,0.9899964,1,X1O2NoCyA - X19O2NoCyA
Glutamatergic synapse,74,0.823351222,1,0.84215064,1.00E+00,0.815386488,1,0.945867709,1,X1O2NoCyA - X19O2NoCyA
Acute myeloid leukemia,56,0.891678972,1,0.758234677,1.00E+00,0.841267911,1,0.950537496,1,X1O2NoCyA - X19O2NoCyA
Yersinia infection,114,0.646769599,1,0.906239501,1.00E+00,0.971024586,1,0.966615116,1,X1O2NoCyA - X19O2NoCyA
Proximal tubule bicarbonate reclamation,16,1,1,0.585945956,1.00E+00,0.983943775,1,0.99999986,1,X1O2NoCyA - X19O2NoCyA
Leukocyte transendothelial migration,81,1,1,0.924741799,1.00E+00,0.639839019,1,0.999999921,1,X1O2NoCyA - X19O2NoCyA
PD-L1 expression and PD-1 checkpoint pathway in cancer,78,0.953993983,1,0.76742333,1.00E+00,0.822319967,1,0.97350209,1,X1O2NoCyA - X19O2NoCyA
Protein digestion and absorption,42,1,1,0.907086579,1.00E+00,0.682002543,1,0.999999907,1,X1O2NoCyA - X19O2NoCyA
Steroid hormone biosynthesis,19,NA,NA,1,1.00E+00,0.844473626,1,0.999999999,1,X1O2NoCyA - X19O2NoCyA
cGMP-PKG signaling pathway,110,0.963344618,1,0.868737957,1.00E+00,0.766910643,1,0.985463216,1,X1O2NoCyA - X19O2NoCyA
Tight junction,133,0.894605915,1,0.779490049,1.00E+00,0.929283305,1,0.970433337,1,X1O2NoCyA - X19O2NoCyA
Endocrine and other factor-regulated calcium reabsorption,36,0.709779881,1,0.991447801,1.00E+00,0.937721652,1,0.993837067,1,X1O2NoCyA - X19O2NoCyA
Thermogenesis,190,0.910901799,1,0.725320748,1.00E+00,0.999794327,1,0.995758065,1,X1O2NoCyA - X19O2NoCyA
Pancreatic secretion,56,0.916262098,1,0.928757047,1.00E+00,0.78366766,1,0.98460284,1,X1O2NoCyA - X19O2NoCyA
Mitophagy - animal,65,0.914962652,1,0.762608901,1.00E+00,0.96856709,1,0.981242472,1,X1O2NoCyA - X19O2NoCyA
Fatty acid elongation,21,1,1,0.870250776,1.00E+00,0.780612945,1,0.999999901,1,X1O2NoCyA - X19O2NoCyA
Pancreatic cancer,69,1,1,0.959991521,1.00E+00,0.739630296,1,0.999999986,1,X1O2NoCyA - X19O2NoCyA
Longevity regulating pathway - multiple species,48,0.981302736,1,0.88526791,1.00E+00,0.831138192,1,0.994037152,1,X1O2NoCyA - X19O2NoCyA
Pentose and glucuronate interconversions,13,NA,NA,0.907086579,1.00E+00,1,1,0.99999414,1,X1O2NoCyA - X19O2NoCyA
Oxidative phosphorylation,108,1,1,0.726482821,1.00E+00,0.999869202,1,0.999999999,1,X1O2NoCyA - X19O2NoCyA
Chemokine signaling pathway,121,0.79569555,1,0.972795257,1.00E+00,0.947482259,1,0.992141597,1,X1O2NoCyA - X19O2NoCyA
Fatty acid degradation,35,1,1,0.951486182,1.00E+00,0.771791287,1,0.999999984,1,X1O2NoCyA - X19O2NoCyA
Taste transduction,34,1,1,1,1.00E+00,0.74346165,1,1,1,X1O2NoCyA - X19O2NoCyA
Bacterial invasion of epithelial cells,64,0.993151184,1,0.961691217,1.00E+00,0.818568215,1,0.999085248,1,X1O2NoCyA - X19O2NoCyA
RNA degradation,73,0.805725887,1,0.995109539,1.00E+00,0.988124031,1,0.999077693,1,X1O2NoCyA - X19O2NoCyA
Ubiquinone and other terpenoid-quinone biosynthesis,10,NA,NA,1,1.00E+00,0.951616058,1,1,1,X1O2NoCyA - X19O2NoCyA
Citrate cycle (TCA cycle),29,1,1,0.84215064,1.00E+00,0.9827372,1,0.999999991,1,X1O2NoCyA - X19O2NoCyA
RNA transport,162,0.845219284,1,0.998466692,1.00E+00,0.999278481,1,0.999932306,1,X1O2NoCyA - X19O2NoCyA
Retrograde endocannabinoid signaling,94,1,1,0.924741799,1.00E+00,0.927967647,1,0.999999993,1,X1O2NoCyA - X19O2NoCyA
Cardiac muscle contraction,49,1,1,0.960123348,1.00E+00,0.956596198,1,0.999999999,1,X1O2NoCyA - X19O2NoCyA
Renin-angiotensin system,10,1,1,1,1.00E+00,0.936261525,1,1,1,X1O2NoCyA - X19O2NoCyA
Ascorbate and aldarate metabolism,7,NA,NA,1,1.00E+00,1,1,1,1,X1O2NoCyA - X19O2NoCyA
"Phenylalanine, tyrosine and tryptophan biosynthesis",3,NA,NA,1,1.00E+00,1,1,1,1,X1O2NoCyA - X19O2NoCyA
Phosphonate and phosphinate metabolism,5,1,1,1,1.00E+00,1,1,1,1,X1O2NoCyA - X19O2NoCyA
D-Glutamine and D-glutamate metabolism,4,NA,NA,1,1.00E+00,1,1,1,1,X1O2NoCyA - X19O2NoCyA
Biotin metabolism,3,NA,NA,NA,NA,1,1,1,1,X1O2NoCyA - X19O2NoCyA
Ribosome,133,0.540673098,1,1.03E-12,1.74E-10,0.99805081,1,0.000352175,0.06039806,X1O2PlusCyA - X19O2NoCyA
Coronavirus disease - COVID-19,174,0.771439331,1,1.03E-12,1.74E-10,0.753426777,1,0.0000681,0.02334754,X1O2PlusCyA - X19O2NoCyA
Protein processing in endoplasmic reticulum,157,0.16597374,1,0.310444946,1.00E+00,0.000000214,0.0000734,0.001837914,0.2101348,X1O2PlusCyA - X19O2NoCyA
"Valine, leucine and isoleucine degradation",42,0.136303003,1,0.00042801,4.84E-02,0.741893882,1,0.0042113,0.36111898,X1O2PlusCyA - X19O2NoCyA
Aminoacyl-tRNA biosynthesis,44,0.182954934,1,0.244546757,1.00E+00,0.003862567,0.370724195,0.019316381,0.7015833,X1O2PlusCyA - X19O2NoCyA
Fructose and mannose metabolism,29,1,1,0.476689536,1.00E+00,0.000405251,0.069500605,0.99776132,1,X1O2PlusCyA - X19O2NoCyA
Cytokine-cytokine receptor interaction,113,0.237838421,1,0.074363175,8.78E-01,0.017776112,0.531064654,0.013374842,0.7015833,X1O2PlusCyA - X19O2NoCyA
Terpenoid backbone biosynthesis,21,0.041009889,1,0.009735581,4.13E-01,0.983981765,1,0.033488429,0.76576875,X1O2PlusCyA - X19O2NoCyA
Mucin type O-glycan biosynthesis,20,NA,NA,0.154428288,1.00E+00,0.017521483,0.531064654,0.025561202,0.7015833,X1O2PlusCyA - X19O2NoCyA
Vitamin B6 metabolism,6,NA,NA,0.681251222,1.00E+00,0.004323314,0.370724195,0.175149674,1,X1O2PlusCyA - X19O2NoCyA
Allograft rejection,28,0.32928406,1,0.002606939,1.77E-01,0.648491326,1,0.025158683,0.7015833,X1O2PlusCyA - X19O2NoCyA
Glycolysis / Gluconeogenesis,51,0.528941519,1,0.057218588,8.08E-01,0.018579521,0.531064654,0.03750721,0.80406081,X1O2PlusCyA - X19O2NoCyA
Graft-versus-host disease,29,0.32928406,1,0.002606939,1.77E-01,0.687266955,1,0.027676554,0.7015833,X1O2PlusCyA - X19O2NoCyA
Lipoic acid metabolism,3,NA,NA,0.248473282,1.00E+00,0.014965232,0.531064654,0.045355515,0.81881682,X1O2PlusCyA - X19O2NoCyA
Cell adhesion molecules,81,0.295883426,1,0.108444601,9.87E-01,0.023996997,0.587926426,0.02773034,0.7015833,X1O2PlusCyA - X19O2NoCyA
p53 signaling pathway,67,0.945958527,1,0.014299886,4.71E-01,0.080641783,0.785684535,0.181981766,1,X1O2PlusCyA - X19O2NoCyA
Type I diabetes mellitus,31,0.423144676,1,0.005315109,3.00E-01,0.597099891,1,0.0453572,0.81881682,X1O2PlusCyA - X19O2NoCyA
Glycosphingolipid biosynthesis - ganglio series,14,NA,NA,0.049793463,8.02E-01,0.140612285,0.927500267,0.024640321,0.7015833,X1O2PlusCyA - X19O2NoCyA
Malaria,24,NA,NA,0.07596827,8.78E-01,0.094865171,0.831919439,0.028636053,0.7015833,X1O2PlusCyA - X19O2NoCyA
Autoimmune thyroid disease,28,0.32928406,1,0.007176626,3.48E-01,0.648491326,1,0.041544577,0.81881682,X1O2PlusCyA - X19O2NoCyA
Apoptosis - multiple species,28,0.085064204,1,0.03839039,6.85E-01,0.555822125,1,0.02303959,0.7015833,X1O2PlusCyA - X19O2NoCyA
Tuberculosis,127,0.125119267,1,0.03588321,6.85E-01,0.416330803,1,0.022500257,0.7015833,X1O2PlusCyA - X19O2NoCyA
Alzheimer disease,300,0.002488465,0.7540049,0.874068475,1.00E+00,0.994282678,1,0.45111206,1,X1O2PlusCyA - X19O2NoCyA
Tyrosine metabolism,20,NA,NA,0.864961424,1.00E+00,0.01240866,0.531064654,0.422268806,1,X1O2PlusCyA - X19O2NoCyA
Synthesis and degradation of ketone bodies,7,0.232039637,1,0.012421614,4.68E-01,0.862359753,1,0.064613831,1,X1O2PlusCyA - X19O2NoCyA
Histidine metabolism,11,NA,NA,0.363964594,1.00E+00,0.032030164,0.732423086,0.106795157,1,X1O2PlusCyA - X19O2NoCyA
Central carbon metabolism in cancer,55,0.528941519,1,0.105159172,9.87E-01,0.049997438,0.785684535,0.08081921,1,X1O2PlusCyA - X19O2NoCyA
Antigen processing and presentation,55,0.665394145,1,0.203097265,1.00E+00,0.023113515,0.587926426,0.152172384,1,X1O2PlusCyA - X19O2NoCyA
Biosynthesis of amino acids,66,0.806756698,1,0.025862901,6.28E-01,0.157176571,0.929509721,0.139327522,1,X1O2PlusCyA - X19O2NoCyA
Other glycan degradation,15,NA,NA,0.101710895,9.87E-01,0.18038458,0.934467112,0.059365217,1,X1O2PlusCyA - X19O2NoCyA
Toxoplasmosis,94,0.528941519,1,0.145657951,1.00E+00,0.058382237,0.785684535,0.107133405,1,X1O2PlusCyA - X19O2NoCyA
Other types of O-glycan biosynthesis,35,1,1,0.629457867,1.00E+00,0.007213069,0.494816535,0.999712017,1,X1O2PlusCyA - X19O2NoCyA
Platinum drug resistance,59,0.75606361,1,0.113602742,9.87E-01,0.055039631,0.785684535,0.172330358,1,X1O2PlusCyA - X19O2NoCyA
Glycosaminoglycan degradation,17,NA,NA,0.03662384,6.85E-01,0.635067533,1,0.086187673,1,X1O2PlusCyA - X19O2NoCyA
Legionellosis,41,0.714209374,1,0.174470639,1.00E+00,0.048222747,0.785684535,0.190038244,1,X1O2PlusCyA - X19O2NoCyA
Glycerolipid metabolism,44,0.423144676,1,0.125435151,1.00E+00,0.120225516,0.927500267,0.092584198,1,X1O2PlusCyA - X19O2NoCyA
Fanconi anemia pathway,53,0.450430084,1,0.250291884,1.00E+00,0.059253538,0.785684535,0.131265041,1,X1O2PlusCyA - X19O2NoCyA
Endocrine and other factor-regulated calcium reabsorption,36,0.011640346,1,1,1.00E+00,0.626158156,1,0.997182149,1,X1O2PlusCyA - X19O2NoCyA
Bile secretion,34,0.02856558,1,0.473431279,1.00E+00,0.550050872,1,0.107126583,1,X1O2PlusCyA - X19O2NoCyA
PPAR signaling pathway,49,0.410384151,1,0.027787462,6.28E-01,0.664824993,1,0.109731196,1,X1O2PlusCyA - X19O2NoCyA
Amino sugar and nucleotide sugar metabolism,44,0.141562827,1,0.820136581,1.00E+00,0.066896402,0.785684535,0.246273426,1,X1O2PlusCyA - X19O2NoCyA
Protein export,23,0.136303003,1,0.326109279,1.00E+00,0.185026943,0.934467112,0.087358737,1,X1O2PlusCyA - X19O2NoCyA
Human T-cell leukemia virus 1 infection,192,0.149074252,1,0.409778067,1.00E+00,0.148892212,0.929509721,0.109110459,1,X1O2PlusCyA - X19O2NoCyA
MAPK signaling pathway,205,0.054475662,1,0.603809532,1.00E+00,0.281796399,0.976324898,0.135160387,1,X1O2PlusCyA - X19O2NoCyA
Mineral absorption,35,0.085064204,1,1,1.00E+00,0.109234496,0.913839805,0.99709593,1,X1O2PlusCyA - X19O2NoCyA
mTOR signaling pathway,131,0.152720048,1,0.629764027,1.00E+00,0.096640093,0.831919439,0.169079925,1,X1O2PlusCyA - X19O2NoCyA
Biosynthesis of unsaturated fatty acids,22,1,1,0.715134658,1.00E+00,0.013204331,0.531064654,0.999885407,1,X1O2PlusCyA - X19O2NoCyA
Adrenergic signaling in cardiomyocytes,93,0.05811579,1,0.995261273,1.00E+00,0.170916701,0.934467112,0.613761065,1,X1O2PlusCyA - X19O2NoCyA
Apoptosis,118,0.046865079,1,0.344035904,1.00E+00,0.625691112,1,0.108208853,1,X1O2PlusCyA - X19O2NoCyA
ABC transporters,29,0.232039637,1,0.462547915,1.00E+00,0.097016844,0.831919439,0.148873346,1,X1O2PlusCyA - X19O2NoCyA
Lipid and atherosclerosis,159,0.907385399,1,0.05432971,8.02E-01,0.225474593,0.934467112,0.321399064,1,X1O2PlusCyA - X19O2NoCyA
Epstein-Barr virus infection,176,0.817636578,1,0.756752284,1.00E+00,0.01835762,0.531064654,0.595463333,1,X1O2PlusCyA - X19O2NoCyA
Autophagy - other,30,0.02356414,1,0.760535197,1.00E+00,0.636311342,1,0.239695356,1,X1O2PlusCyA - X19O2NoCyA
Progesterone-mediated oocyte maturation,81,0.030502123,1,0.479012727,1.00E+00,0.934077305,1,0.247619666,1,X1O2PlusCyA - X19O2NoCyA
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25,1,1,0.015287364,4.71E-01,0.914442504,1,0.999504257,1,X1O2PlusCyA - X19O2NoCyA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,NA,NA,1,1.00E+00,0.052681677,0.785684535,0.999998304,1,X1O2PlusCyA - X19O2NoCyA
Axon guidance,121,0.019707341,1,0.976670162,1.00E+00,0.817114491,1,0.614122115,1,X1O2PlusCyA - X19O2NoCyA
Prion disease,222,0.019707341,1,0.856764361,1.00E+00,0.959478482,1,0.505547298,1,X1O2PlusCyA - X19O2NoCyA
"Glycine, serine and threonine metabolism",29,1,1,0.054436736,8.02E-01,0.310123799,0.984530065,0.99834933,1,X1O2PlusCyA - X19O2NoCyA
Sphingolipid signaling pathway,99,0.265161794,1,0.896977953,1.00E+00,0.072977893,0.785684535,0.440345806,1,X1O2PlusCyA - X19O2NoCyA
Melanoma,46,0.348928127,1,0.833673539,1.00E+00,0.062168398,0.785684535,0.414022676,1,X1O2PlusCyA - X19O2NoCyA
Relaxin signaling pathway,88,0.133019276,1,0.914860106,1.00E+00,0.154981378,0.929509721,0.409221759,1,X1O2PlusCyA - X19O2NoCyA
Estrogen signaling pathway,84,0.22177358,1,0.804145269,1.00E+00,0.112522327,0.918932338,0.339695142,1,X1O2PlusCyA - X19O2NoCyA
Cell cycle,118,0.369814297,1,0.452508369,1.00E+00,0.125762322,0.927500267,0.230550169,1,X1O2PlusCyA - X19O2NoCyA
Endometrial cancer,52,0.143703022,1,0.431798116,1.00E+00,0.348724162,1,0.168841961,1,X1O2PlusCyA - X19O2NoCyA
B cell receptor signaling pathway,74,0.275804901,1,0.998445474,1.00E+00,0.079611124,0.785684535,0.838406049,1,X1O2PlusCyA - X19O2NoCyA
Carbohydrate digestion and absorption,30,0.547424725,1,0.663341077,1.00E+00,0.061765647,0.785684535,0.404678927,1,X1O2PlusCyA - X19O2NoCyA
Leishmaniasis,59,0.488392398,1,0.207483658,1.00E+00,0.221717864,0.934467112,0.199407865,1,X1O2PlusCyA - X19O2NoCyA
Hippo signaling pathway - multiple species,21,0.733555144,1,0.462547915,1.00E+00,0.068757893,0.785684535,0.411278679,1,X1O2PlusCyA - X19O2NoCyA
Small cell lung cancer,75,0.611711601,1,0.519837161,1.00E+00,0.073883614,0.785684535,0.367243591,1,X1O2PlusCyA - X19O2NoCyA
Carbon metabolism,99,0.473057856,1,0.103173533,9.87E-01,0.483922738,1,0.189267567,1,X1O2PlusCyA - X19O2NoCyA
Mannose type O-glycan biosynthesis,19,NA,NA,0.248473282,1.00E+00,0.319157277,0.986224738,0.204955057,1,X1O2PlusCyA - X19O2NoCyA
Hematopoietic cell lineage,53,0.133019276,1,0.589999968,1.00E+00,0.310956738,0.984530065,0.22026207,1,X1O2PlusCyA - X19O2NoCyA
beta-Alanine metabolism,23,1,1,0.395036257,1.00E+00,0.06531817,0.785684535,0.999681386,1,X1O2PlusCyA - X19O2NoCyA
Autophagy - animal,124,0.067839855,1,0.534207606,1.00E+00,0.71339859,1,0.240269613,1,X1O2PlusCyA - X19O2NoCyA
Biosynthesis of cofactors,111,0.968312721,1,0.347382708,1.00E+00,0.076917908,0.785684535,0.660184912,1,X1O2PlusCyA - X19O2NoCyA
TNF signaling pathway,84,0.58177829,1,0.552390441,1.00E+00,0.082462517,0.785684535,0.376761782,1,X1O2PlusCyA - X19O2NoCyA
Fatty acid degradation,35,1,1,0.027797773,6.28E-01,0.955446735,1,0.999829469,1,X1O2PlusCyA - X19O2NoCyA
