"","Pathway.name","Unique.genes","Phosphoproteomics","PhosphoproteomicsFDR_BH","Proteomics","ProteomicsFDR_BH","Transcriptomics","TranscriptomicsFDR_BH","Combined","CombinedFDR_BH","Contrast","Proteomics_FDR","Phosphoproteomics_FDR","Transcriptomics_FDR","Combined_FDR"
"781","IL-17 signaling pathway"," 60","0.414875606","1.0000000","0.435576082","1.000000e+00","0.2051264700","0.934467112","0.286555479","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"782","Pancreatic cancer"," 69","0.985799988","1.0000000","0.86919429","1.000000e+00","0.0442217640","0.785684535","0.934450611","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"783","Cardiac muscle contraction"," 49","0.136303003","1.0000000","0.307652244","1.000000e+00","0.9227476990","1.000000000","0.309519324","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"784","Transcriptional misregulation in cancer","126","0.637514848","1.0000000","0.297792469","1.000000e+00","0.2052250140","0.934467112","0.333192513","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"785","Hippo signaling pathway","118","0.141028831","1.0000000","0.54919043","1.000000e+00","0.5216043280","1.000000000","0.272902921","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"786","Non-small cell lung cancer"," 62","0.58177829","1.0000000","0.86201045","1.000000e+00","0.0806417830","0.785684535","0.619200624","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"787","N-Glycan biosynthesis"," 47","0.410384151","1.0000000","0.771192143","1.000000e+00","0.1287713250","0.927500267","0.459306790","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"788","Glycosphingolipid biosynthesis - globo and isoglobo series"," 11",NA,NA,"0.154428288","1.000000e+00","0.7960118070","1.000000000","0.325192373","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"789","JAK-STAT signaling pathway"," 86","0.473057856","1.0000000","0.477536069","1.000000e+00","0.1833616990","0.934467112","0.334120805","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"790","Gap junction"," 63","0.086908831","1.0000000","0.91828441","1.000000e+00","0.5253151630","1.000000000","0.515159594","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"791","Viral myocarditis"," 51","0.414875606","1.0000000","0.207483658","1.000000e+00","0.4988384330","1.000000000","0.250934450","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"792","Complement and coagulation cascades"," 36","1","1.0000000","0.07596827","8.776781e-01","0.5820335990","1.000000000","0.999549240","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"793","AMPK signaling pathway"," 97","0.987465062","1.0000000","0.79303961","1.000000e+00","0.0573666170","0.785684535","0.918017407","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"794","Dopaminergic synapse"," 93","0.161978102","1.0000000","0.937637154","1.000000e+00","0.3013829820","0.984530065","0.559639308","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"795","Cocaine addiction"," 32","0.231596118","1.0000000","0.800324217","1.000000e+00","0.2479198460","0.934467112","0.422358964","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"796","Basal cell carcinoma"," 43","0.587279116","1.0000000","0.395036257","1.000000e+00","0.1993250530","0.934467112","0.361888981","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"797","Riboflavin metabolism","  7",NA,NA,"0.575704195","1.000000e+00","0.2364033880","0.934467112","0.419967177","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"798","Thyroid hormone synthesis"," 50","0.348928127","1.0000000","0.98063031","1.000000e+00","0.1396861610","0.927500267","0.748997921","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"799","Pantothenate and CoA biosynthesis"," 16","1","1.0000000","0.07596827","8.776781e-01","0.6350675330","1.000000000","0.999627982","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"800","Glycerophospholipid metabolism"," 66","0.420059495","1.0000000","0.144098557","1.000000e+00","0.8038032380","1.000000000","0.311125893","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"801","Glioma"," 59","0.254874416","1.0000000","0.943811196","1.000000e+00","0.2051264700","0.934467112","0.610955600","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"802","Various types of N-glycan biosynthesis"," 34","0.410384151","1.0000000","0.533532503","1.000000e+00","0.2264304990","0.934467112","0.350861360","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"803","cGMP-PKG signaling pathway","110","0.180036865","1.0000000","0.918390322","1.000000e+00","0.3108282770","0.984530065","0.545990385","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"804","FoxO signaling pathway","107","0.525217958","1.0000000","0.513068704","1.000000e+00","0.1934432980","0.934467112","0.393377250","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"805","Pentose phosphate pathway"," 26","0.27695851","1.0000000","0.949011311","1.000000e+00","0.2012566060","0.934467112","0.637463354","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"806","Human papillomavirus infection","248","0.623616455","1.0000000","0.944073091","1.000000e+00","0.0929314570","0.831919439","0.767188758","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"807","Prolactin signaling pathway"," 52","0.133019276","1.0000000","0.907113339","1.000000e+00","0.4988384330","1.000000000","0.551375764","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"808","Fat digestion and absorption"," 21",NA,NA,"0.2202301","1.000000e+00","0.7647581040","1.000000000","0.383842030","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"809","Focal adhesion","139","0.192229665","1.0000000","0.831873025","1.000000e+00","0.3791567590","1.000000000","0.474437764","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"810","Citrate cycle (TCA cycle)"," 29","0.547424725","1.0000000","0.116656378","9.886628e-01","0.9509550370","1.000000000","0.476527306","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"811","Asthma"," 19","0.231596118","1.0000000","0.317532627","1.000000e+00","0.8287878300","1.000000000","0.335956128","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"812","Cysteine and methionine metabolism"," 42","0.843293616","1.0000000","0.113602742","9.874700e-01","0.6425481430","1.000000000","0.506877358","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"813","Huntington disease","255","0.06339252","1.0000000","0.97942706","1.000000e+00","0.9928032280","1.000000000","0.897589295","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"814","Sulfur relay system","  8","1","1.0000000","0.068893474","8.776781e-01","0.8963418450","1.000000000","0.999888815","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"815","RNA polymerase"," 31","0.085064204","1.0000000","0.749125129","1.000000e+00","0.9775670490","1.000000000","0.621562789","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"816","GnRH signaling pathway"," 74","0.086908831","1.0000000","0.882429078","1.000000e+00","0.8135529930","1.000000000","0.588114680","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"817","VEGF signaling pathway"," 48","0.161978102","1.0000000","0.901971746","1.000000e+00","0.4339713070","1.000000000","0.551338524","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"818","T cell receptor signaling pathway"," 79","0.125119267","1.0000000","0.54919043","1.000000e+00","0.9340773050","1.000000000","0.462918288","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"819","Colorectal cancer"," 77","0.265161794","1.0000000","0.479012727","1.000000e+00","0.5149013920","1.000000000","0.333168776","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"820","Aldosterone synthesis and secretion"," 62","0.355396903","1.0000000","0.764001039","1.000000e+00","0.2460114140","0.934467112","0.483813854","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"821","Intestinal immune network for IgA production"," 35","0.843293616","1.0000000","0.253566337","1.000000e+00","0.3185448480","0.986224738","0.519280935","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"822","Oocyte meiosis","108","0.13422244","1.0000000","0.625097575","1.000000e+00","0.8235749290","1.000000000","0.436233522","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"823","Viral protein interaction with cytokine and cytokine receptor"," 30","0.410384151","1.0000000","0.551476557","1.000000e+00","0.3101237990","0.984530065","0.399232086","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"824","Retinol metabolism"," 19",NA,NA,"0.363964594","1.000000e+00","0.5208017800","1.000000000","0.392574325","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"825","Rheumatoid arthritis"," 63","0.652700927","1.0000000","0.571649885","1.000000e+00","0.1899144470","0.934467112","0.514527685","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"826","Renal cell carcinoma"," 56","0.194328722","1.0000000","0.900410945","1.000000e+00","0.4051244910","1.000000000","0.569959633","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"827","Hepatitis C","116","0.496226774","1.0000000","0.789077756","1.000000e+00","0.1846050280","0.934467112","0.567352243","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"828","Chronic myeloid leukemia"," 69","0.687378174","1.0000000","0.886475959","1.000000e+00","0.1197479500","0.927500267","0.742721337","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"829","PI3K-Akt signaling pathway","223","0.502567749","1.0000000","0.719164954","1.000000e+00","0.2023892350","0.934467112","0.524033483","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"830","Long-term potentiation"," 52","0.081478424","1.0000000","0.953632335","1.000000e+00","0.9501761230","1.000000000","0.791446328","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"831","Fc epsilon RI signaling pathway"," 53","0.355396903","1.0000000","0.940255122","1.000000e+00","0.2217178640","0.934467112","0.681876244","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"832","Measles","110","0.818349087","1.0000000","0.331949217","1.000000e+00","0.2764623730","0.970066710","0.533947821","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"833","Primary immunodeficiency"," 28","0.714209374","1.0000000","0.839385231","1.000000e+00","0.1283844310","0.927500267","0.718483830","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"834","EGFR tyrosine kinase inhibitor resistance"," 58","0.356913887","1.0000000","0.435576082","1.000000e+00","0.4956477170","1.000000000","0.363182863","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"835","Neurotrophin signaling pathway","100","0.16597374","1.0000000","0.605528205","1.000000e+00","0.7840613190","1.000000000","0.436657900","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"836","Rap1 signaling pathway","145","0.125119267","1.0000000","0.953850099","1.000000e+00","0.6653337730","1.000000000","0.692902628","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"837","Osteoclast differentiation"," 98","0.724054443","1.0000000","0.479141461","1.000000e+00","0.2308531500","0.934467112","0.528918443","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"838","Circadian rhythm"," 23","0.27695851","1.0000000","0.317532627","1.000000e+00","0.9573236440","1.000000000","0.486580094","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"839","Hepatitis B","134","0.586652752","1.0000000","0.532697436","1.000000e+00","0.2716077300","0.970066710","0.485108225","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"840","Cholesterol metabolism"," 33","0.733555144","1.0000000","0.125435151","1.000000e+00","0.9230761580","1.000000000","0.584067081","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"841","Spinocerebellar ataxia","121","0.088517972","1.0000000","0.989264593","1.000000e+00","0.9780533790","1.000000000","0.916937836","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"842","HIF-1 signaling pathway"," 88","0.697876454","1.0000000","0.297792469","1.000000e+00","0.4131721610","1.000000000","0.464364069","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"843","Phagosome","119","0.403793749","1.0000000","0.367699702","1.000000e+00","0.5882704510","1.000000000","0.384672417","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"844","Alanine, aspartate and glutamate metabolism"," 24","0.410384151","1.0000000","0.981877644","1.000000e+00","0.2211602780","0.934467112","0.820097060","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"845","Proteasome"," 45","0.089759701","1.0000000","0.99876175","1.000000e+00","0.9955625940","1.000000000","0.981848175","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"846","Oxytocin signaling pathway","110","0.125119267","1.0000000","0.981811505","1.000000e+00","0.7396320230","1.000000000","0.803116246","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"847","African trypanosomiasis"," 20","1","1.0000000","0.111729727","9.874700e-01","0.8287878300","1.000000000","0.999909931","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"848","Amphetamine addiction"," 48","0.182954934","1.0000000","0.627220231","1.000000e+00","0.8149199310","1.000000000","0.485318095","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"849","Sulfur metabolism","  8",NA,NA,"0.760572879","1.000000e+00","0.3128681550","0.984530065","0.640695756","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"850","Fluid shear stress and atherosclerosis"," 96","0.993651256","1.0000000","0.181660013","1.000000e+00","0.5317969330","1.000000000","0.858610373","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"851","Caffeine metabolism","  1",NA,NA,"1","1.000000e+00","0.2465702630","0.934467112","0.999999849","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"852","Propanoate metabolism"," 32","0.795637237","1.0000000","0.16994781","1.000000e+00","0.7397058580","1.000000000","0.567171368","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"853","2-Oxocarboxylic acid metabolism"," 17",NA,NA,"0.253566337","1.000000e+00","0.9892967640","1.000000000","0.726747865","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"854","Phototransduction"," 14",NA,NA,"0.259063114","1.000000e+00","0.9749102180","1.000000000","0.671149725","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"855","Galactose metabolism"," 24","0.733555144","1.0000000","0.229440894","1.000000e+00","0.6069188250","1.000000000","0.512857141","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"856","Vitamin digestion and absorption"," 12","1","1.0000000","0.111382443","9.874700e-01","0.9666749250","1.000000000","0.999977952","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"857","Starch and sucrose metabolism"," 27","0.423144676","1.0000000","0.663341077","1.000000e+00","0.3836401280","1.000000000","0.513066682","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"858","One carbon pool by folate"," 18","1","1.0000000","0.154011781","1.000000e+00","0.7260959580","1.000000000","0.999907913","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"859","Pancreatic secretion"," 56","0.182954934","1.0000000","0.860561478","1.000000e+00","0.7113262500","1.000000000","0.627486249","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"860","Chemical carcinogenesis - DNA adducts"," 20","1","1.0000000","0.551476557","1.000000e+00","0.2031726090","0.934467112","0.999958332","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"861","Arginine and proline metabolism"," 35","0.232039637","1.0000000","0.732858608","1.000000e+00","0.6614511540","1.000000000","0.533498994","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"862","C-type lectin receptor signaling pathway"," 82","0.356913887","1.0000000","0.86919429","1.000000e+00","0.3634044490","1.000000000","0.638385879","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"863","MicroRNAs in cancer","141","0.75254117","1.0000000","0.281950549","1.000000e+00","0.5356012560","1.000000000","0.542627552","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"864","Insulin resistance"," 88","0.839725418","1.0000000","0.938374553","1.000000e+00","0.1443628670","0.929509721","0.893184445","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"865","Ubiquinone and other terpenoid-quinone biosynthesis"," 10",NA,NA,"1","1.000000e+00","0.2771619170","0.970066710","0.999999883","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"866","Phenylalanine metabolism"," 11",NA,NA,"1","1.000000e+00","0.2771619170","0.970066710","0.999999883","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"867","Glycosaminoglycan biosynthesis - keratan sulfate"," 11",NA,NA,"1","1.000000e+00","0.2771619170","0.970066710","0.999999883","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"868","Ovarian steroidogenesis"," 24","0.232039637","1.0000000","0.923875954","1.000000e+00","0.5627748930","1.000000000","0.695231526","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"869","Fatty acid metabolism"," 50","1","1.0000000","0.186422961","1.000000e+00","0.6569977290","1.000000000","0.999910621","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"870","Cushing syndrome","110","0.271657465","1.0000000","0.646919338","1.000000e+00","0.6984599000","1.000000000","0.518617698","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"871","Leukocyte transendothelial migration"," 81","1","1.0000000","0.823727132","1.000000e+00","0.1503809060","0.929509721","0.999993946","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"872","Amyotrophic lateral sclerosis","302","0.124815692","1.0000000","0.996026678","1.000000e+00","0.9996514950","1.000000000","0.988555262","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"873","Natural killer cell mediated cytotoxicity"," 81","0.231900924","1.0000000","0.714041398","1.000000e+00","0.7551326990","1.000000000","0.560756562","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"874","Endocrine resistance"," 83","0.22177358","1.0000000","0.882429078","1.000000e+00","0.6419184000","1.000000000","0.658668125","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"875","Insulin secretion"," 49","0.587279116","1.0000000","0.949011311","1.000000e+00","0.2254170680","0.934467112","0.820252846","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"876","Selenocompound metabolism"," 15","0.547424725","1.0000000","0.395036257","1.000000e+00","0.5828083130","1.000000000","0.494311324","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"877","Chemical carcinogenesis - receptor activation","123","0.525217958","1.0000000","0.640576757","1.000000e+00","0.3757038420","1.000000000","0.560909900","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"878","Choline metabolism in cancer"," 72","0.265161794","1.0000000","0.982984002","1.000000e+00","0.4903126100","1.000000000","0.830467584","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"879","Pyruvate metabolism"," 38","0.843293616","1.0000000","0.27995896","1.000000e+00","0.5451345790","1.000000000","0.627755440","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"880","Fc gamma R-mediated phagocytosis"," 77","0.231900924","1.0000000","0.99970228","1.000000e+00","0.5684665920","1.000000000","0.965341658","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"881","Thyroid hormone signaling pathway","100","0.350935045","1.0000000","0.541554315","1.000000e+00","0.7029680020","1.000000000","0.508815264","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"882","Th17 cell differentiation"," 89","0.755201393","1.0000000","0.253826624","1.000000e+00","0.7233761310","1.000000000","0.599110018","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"883","Long-term depression"," 43","0.348928127","1.0000000","1","1.000000e+00","0.3989527380","1.000000000","0.999921144","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"884","Lysine degradation"," 51","0.717837475","1.0000000","0.203097265","1.000000e+00","0.9571720140","1.000000000","0.691612022","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"885","AGE-RAGE signaling pathway in diabetic complications"," 74","0.90792808","1.0000000","0.996626267","1.000000e+00","0.1566331150","0.929509721","0.987513876","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"886","Tryptophan metabolism"," 26","1","1.0000000","0.473431279","1.000000e+00","0.2998710700","0.984530065","0.999956629","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"887","Nicotinate and nicotinamide metabolism"," 27","0.32928406","1.0000000","0.473431279","1.000000e+00","0.9144425040","1.000000000","0.576977717","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"888","Neomycin, kanamycin and gentamicin biosynthesis","  3",NA,NA,"0.575704195","1.000000e+00","0.5723886790","1.000000000","0.601518599","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"889","Ubiquitin mediated proteolysis","131","0.313634437","1.0000000","0.729607021","1.000000e+00","0.6356786060","1.000000000","0.584159889","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"890","Metabolism of xenobiotics by cytochrome P450"," 28","1","1.0000000","0.317532627","1.000000e+00","0.4683438210","1.000000000","0.999936324","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"891","Growth hormone synthesis, secretion and action"," 88","0.356913887","1.0000000","0.976089771","1.000000e+00","0.4373537190","1.000000000","0.837491104","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"892","Drug metabolism - cytochrome P450"," 25","1","1.0000000","0.462547915","1.000000e+00","0.3317179030","1.000000000","0.999959547","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"893","GABAergic synapse"," 46","0.547424725","1.0000000","0.935442161","1.000000e+00","0.3052978610","0.984530065","0.807212908","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"894","Chagas disease"," 69","0.733555144","1.0000000","0.900410945","1.000000e+00","0.2386437390","0.934467112","0.833725716","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"895","Cortisol synthesis and secretion"," 39","0.423144676","1.0000000","0.79988948","1.000000e+00","0.4677448320","1.000000000","0.651035947","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"896","Influenza A","128","0.393230408","1.0000000","0.794055164","1.000000e+00","0.5186993000","1.000000000","0.645583699","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"897","Taurine and hypotaurine metabolism","  5",NA,NA,"1","1.000000e+00","0.3599505070","1.000000000","0.999999938","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"898","Kaposi sarcoma-associated herpesvirus infection","150","0.499991297","1.0000000","0.556936987","1.000000e+00","0.6044944700","1.000000000","0.577330384","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"899","Renin secretion"," 38","0.32928406","1.0000000","0.760535197","1.000000e+00","0.6946844620","1.000000000","0.642924880","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"900","cAMP signaling pathway","124","0.313040015","1.0000000","0.94657427","1.000000e+00","0.6058925580","1.000000000","0.797117198","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"901","Protein digestion and absorption"," 42","0.795637237","1.0000000","0.395036257","1.000000e+00","0.5760368590","1.000000000","0.670955699","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"902","Ras signaling pathway","150","0.350935045","1.0000000","0.597361365","1.000000e+00","0.8646628270","1.000000000","0.630594849","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"903","Parathyroid hormone synthesis, secretion and action"," 78","0.631052783","1.0000000","0.657296861","1.000000e+00","0.4371050090","1.000000000","0.663312993","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"904","Sphingolipid metabolism"," 38","0.547424725","1.0000000","0.540349257","1.000000e+00","0.6175025260","1.000000000","0.602205001","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"905","Melanogenesis"," 69","0.237838421","1.0000000","0.959458782","1.000000e+00","0.8038032380","1.000000000","0.840093859","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"906","Non-alcoholic fatty liver disease","130","0.793410464","1.0000000","0.277355836","1.000000e+00","0.8603081250","1.000000000","0.715469371","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"907","Staphylococcus aureus infection"," 38","0.547424725","1.0000000","0.410612724","1.000000e+00","0.8426541460","1.000000000","0.624987411","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"908","NF-kappa B signaling pathway"," 79","0.787926791","1.0000000","0.955929537","1.000000e+00","0.2519151820","0.939205514","0.915293609","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"909","Mitophagy - animal"," 65","0.932374673","1.0000000","0.266478775","1.000000e+00","0.7642330080","1.000000000","0.802781940","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"910","Calcium signaling pathway","129","0.310460983","1.0000000","0.861953277","1.000000e+00","0.7133985900","1.000000000","0.725802808","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"911","Vibrio cholerae infection"," 44","1","1.0000000","0.695886329","1.000000e+00","0.2746834940","0.970066710","0.999990345","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"912","ECM-receptor interaction"," 43","1","1.0000000","0.282230314","1.000000e+00","0.6834259180","1.000000000","0.999965536","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"913","Cellular senescence","136","0.887384997","1.0000000","0.750034529","1.000000e+00","0.2903893930","0.984530065","0.846253723","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"914","TGF-beta signaling pathway"," 72","0.929452381","1.0000000","0.657296861","1.000000e+00","0.3341189460","1.000000000","0.856081574","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"915","Oxidative phosphorylation","108","0.652700927","1.0000000","0.321878884","1.000000e+00","0.9765625430","1.000000000","0.765013618","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"916","Th1 and Th2 cell differentiation"," 75","0.528941519","1.0000000","0.478530298","1.000000e+00","0.8135529930","1.000000000","0.639019586","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"917","Bladder cancer"," 33","0.587279116","1.0000000","0.839385231","1.000000e+00","0.4284733580","1.000000000","0.764060838","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"918","Valine, leucine and isoleucine biosynthesis","  3",NA,NA,"0.435278893","1.000000e+00","1.0000000000","1.000000000","0.999047248","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,NA,1,1
"919","Glyoxylate and dicarboxylate metabolism"," 23","1","1.0000000","0.420250615","1.000000e+00","0.5163915770","1.000000000","0.999974986","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"920","Cholinergic synapse"," 73","0.420059495","1.0000000","0.999760146","1.000000e+00","0.5186732420","1.000000000","0.984370062","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
"921","Phospholipase D signaling pathway","102","0.231900924","1.0000000","0.973890605","1.000000e+00","0.9658953450","1.000000000","0.930965821","1.00000000","X1O2PlusCyA - X19O2NoCyA",1,1,1,1
